symbol,name,timestamp,price
AAPL,Apple,2026-09-01 09:30:00,180.79
AAPL,Apple,2026-09-01 10:00:00,181.69
AAPL,Apple,2026-09-01 10:30:00,182.12
AAPL,Apple,2026-09-01 11:00:00,181.73
AAPL,Apple,2026-09-01 11:30:00,181.45
AAPL,Apple,2026-09-01 12:00:00,181.31
AAPL,Apple,2026-09-01 12:30:00,181.35
AAPL,Apple,2026-09-01 13:00:00,180.48
AAPL,Apple,2026-09-01 13:30:00,180.57
AAPL,Apple,2026-09-01 14:00:00,180.20
AAPL,Apple,2026-09-01 14:30:00,181.99
AAPL,Apple,2026-09-01 15:00:00,182.55
AAPL,Apple,2026-09-01 15:30:00,182.12
AAPL,Apple,2026-09-01 16:00:00,182.44
AAPL,Apple,2026-09-02 09:30:00,182.23
AAPL,Apple,2026-09-02 10:00:00,182.00
AAPL,Apple,2026-09-02 10:30:00,182.59
AAPL,Apple,2026-09-02 11:00:00,182.74
AAPL,Apple,2026-09-02 11:30:00,183.60
AAPL,Apple,2026-09-02 12:00:00,183.63
AAPL,Apple,2026-09-02 12:30:00,182.92
AAPL,Apple,2026-09-02 13:00:00,182.64
AAPL,Apple,2026-09-02 13:30:00,182.26
AAPL,Apple,2026-09-02 14:00:00,182.43
AAPL,Apple,2026-09-02 14:30:00,181.43
AAPL,Apple,2026-09-02 15:00:00,181.17
AAPL,Apple,2026-09-02 15:30:00,181.10
AAPL,Apple,2026-09-02 16:00:00,182.37
AAPL,Apple,2026-09-03 09:30:00,182.25
AAPL,Apple,2026-09-03 10:00:00,183.08
AAPL,Apple,2026-09-03 10:30:00,183.73
AAPL,Apple,2026-09-03 11:00:00,183.43
AAPL,Apple,2026-09-03 11:30:00,184.33
AAPL,Apple,2026-09-03 12:00:00,183.95
AAPL,Apple,2026-09-03 12:30:00,183.72
AAPL,Apple,2026-09-03 13:00:00,183.23
AAPL,Apple,2026-09-03 13:30:00,182.63
AAPL,Apple,2026-09-03 14:00:00,183.69
AAPL,Apple,2026-09-03 14:30:00,184.17
AAPL,Apple,2026-09-03 15:00:00,183.64
AAPL,Apple,2026-09-03 15:30:00,183.55
AAPL,Apple,2026-09-03 16:00:00,183.27
AAPL,Apple,2026-09-04 09:30:00,183.09
AAPL,Apple,2026-09-04 10:00:00,183.85
AAPL,Apple,2026-09-04 10:30:00,184.31
AAPL,Apple,2026-09-04 11:00:00,184.56
AAPL,Apple,2026-09-04 11:30:00,185.64
AAPL,Apple,2026-09-04 12:00:00,185.42
AAPL,Apple,2026-09-04 12:30:00,186.01
AAPL,Apple,2026-09-04 13:00:00,186.07
AAPL,Apple,2026-09-04 13:30:00,186.49
AAPL,Apple,2026-09-04 14:00:00,185.76
AAPL,Apple,2026-09-04 14:30:00,185.33
AAPL,Apple,2026-09-04 15:00:00,186.12
AAPL,Apple,2026-09-04 15:30:00,186.53
AAPL,Apple,2026-09-04 16:00:00,186.60
AAPL,Apple,2026-09-05 09:30:00,185.60
AAPL,Apple,2026-09-05 10:00:00,186.00
AAPL,Apple,2026-09-05 10:30:00,185.09
AAPL,Apple,2026-09-05 11:00:00,185.07
AAPL,Apple,2026-09-05 11:30:00,185.06
AAPL,Apple,2026-09-05 12:00:00,185.74
AAPL,Apple,2026-09-05 12:30:00,186.12
AAPL,Apple,2026-09-05 13:00:00,185.62
AAPL,Apple,2026-09-05 13:30:00,185.22
AAPL,Apple,2026-09-05 14:00:00,185.56
AAPL,Apple,2026-09-05 14:30:00,185.41
AAPL,Apple,2026-09-05 15:00:00,185.42
AAPL,Apple,2026-09-05 15:30:00,186.06
AAPL,Apple,2026-09-05 16:00:00,186.78
AAPL,Apple,2026-09-06 09:30:00,187.58
AAPL,Apple,2026-09-06 10:00:00,185.53
AAPL,Apple,2026-09-06 10:30:00,184.81
AAPL,Apple,2026-09-06 11:00:00,184.34
AAPL,Apple,2026-09-06 11:30:00,183.84
AAPL,Apple,2026-09-06 12:00:00,183.58
AAPL,Apple,2026-09-06 12:30:00,184.22
AAPL,Apple,2026-09-06 13:00:00,184.02
AAPL,Apple,2026-09-06 13:30:00,183.67
AAPL,Apple,2026-09-06 14:00:00,184.66
AAPL,Apple,2026-09-06 14:30:00,183.91
AAPL,Apple,2026-09-06 15:00:00,184.37
AAPL,Apple,2026-09-06 15:30:00,184.78
AAPL,Apple,2026-09-06 16:00:00,184.92
AAPL,Apple,2026-09-07 09:30:00,185.37
AAPL,Apple,2026-09-07 10:00:00,185.28
AAPL,Apple,2026-09-07 10:30:00,185.33
AAPL,Apple,2026-09-07 11:00:00,184.59
AAPL,Apple,2026-09-07 11:30:00,185.19
AAPL,Apple,2026-09-07 12:00:00,185.72
AAPL,Apple,2026-09-07 12:30:00,185.78
AAPL,Apple,2026-09-07 13:00:00,184.81
AAPL,Apple,2026-09-07 13:30:00,184.80
AAPL,Apple,2026-09-07 14:00:00,184.85
AAPL,Apple,2026-09-07 14:30:00,184.52
AAPL,Apple,2026-09-07 15:00:00,184.10
AAPL,Apple,2026-09-07 15:30:00,184.64
AAPL,Apple,2026-09-07 16:00:00,184.42
AAPL,Apple,2026-09-08 09:30:00,184.55
